Number of peaks RSAM VRBA,Avg Prominence RSAM VRBA,Max Prominence RSAM VRBA,Std Prominence RSAM VRBA,Avg h Width RSAM VRBA,Max h Width RSAM VRBA,Std h Width RSAM VRBA,Avg RSAM peak RSAM VRBA,Max RSAM peak RSAM VRBA,Std RSAM peak RSAM VRBA,Number of drops RSAM VRBA,Avg Drop Depth RSAM VRBA,Max Drop Depth RSAM VRBA,Std Drop Depth RSAM VRBA,Avg l Width RSAM VRBA,Max l Width RSAM VRBA,Std l Width RSAM VRBA,Avg RSAM drop RSAM VRBA,Max RSAM drop RSAM VRBA,Std RSAM drop RSAM VRBA,Quantile Changes RSAM VRBA,Number of peaks DSAR VRBA,Avg Prominence DSAR VRBA,Max Prominence DSAR VRBA,Std Prominence DSAR VRBA,Avg h Width DSAR VRBA,Max h Width DSAR VRBA,Std h Width DSAR VRBA,Avg RSAM peak DSAR VRBA,Max RSAM peak DSAR VRBA,Std RSAM peak DSAR VRBA,Number of drops DSAR VRBA,Avg Drop Depth DSAR VRBA,Max Drop Depth DSAR VRBA,Std Drop Depth DSAR VRBA,Avg l Width DSAR VRBA,Max l Width DSAR VRBA,Std l Width DSAR VRBA,Avg RSAM drop DSAR VRBA,Max RSAM drop DSAR VRBA,Std RSAM drop DSAR VRBA,Quantile Changes DSAR VRBA,Number of peaks RSAM VORI,Avg Prominence RSAM VORI,Max Prominence RSAM VORI,Std Prominence RSAM VORI,Avg h Width RSAM VORI,Max h Width RSAM VORI,Std h Width RSAM VORI,Avg RSAM peak RSAM VORI,Max RSAM peak RSAM VORI,Std RSAM peak RSAM VORI,Number of drops RSAM VORI,Avg Drop Depth RSAM VORI,Max Drop Depth RSAM VORI,Std Drop Depth RSAM VORI,Avg l Width RSAM VORI,Max l Width RSAM VORI,Std l Width RSAM VORI,Avg RSAM drop RSAM VORI,Max RSAM drop RSAM VORI,Std RSAM drop RSAM VORI,Quantile Changes RSAM VORI,Number of peaks DSAR VORI,Avg Prominence DSAR VORI,Max Prominence DSAR VORI,Std Prominence DSAR VORI,Avg h Width DSAR VORI,Max h Width DSAR VORI,Std h Width DSAR VORI,Avg RSAM peak DSAR VORI,Max RSAM peak DSAR VORI,Std RSAM peak DSAR VORI,Number of drops DSAR VORI,Avg Drop Depth DSAR VORI,Max Drop Depth DSAR VORI,Std Drop Depth DSAR VORI,Avg l Width DSAR VORI,Max l Width DSAR VORI,Std l Width DSAR VORI,Avg RSAM drop DSAR VORI,Max RSAM drop DSAR VORI,Std RSAM drop DSAR VORI,Quantile Changes DSAR VORI,Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR
1,11.105245708158463,11.105245708158463,0.0,2446.37330389885,2446.37330389885,0.0,48.24541386727296,48.24541386727296,0.0,1,0.014770766539371039,0.014770766539371039,0.0,2.0,2.0,0.0,34.780842443469524,34.780842443469524,0.0,94.506541704119,1,0.00011443320256743217,0.00011443320256743217,0.0,2.0,2.0,0.0,0.7367019089526986,0.7367019089526986,0.0,1,0.00036957694453004786,0.00036957694453004786,0.0,4.0,4.0,0.0,0.43294768876750395,0.43294768876750395,0.0,0.03914691229590144,1,91.2747744853188,91.2747744853188,0.0,2425.999629505077,2425.999629505077,0.0,414.4835586527556,414.4835586527556,0.0,1,0.2411765447518519,0.2411765447518519,0.0,2.0,2.0,0.0,313.2426920871593,313.2426920871593,0.0,36.58782031539752,1,0.004894364049151001,0.004894364049151001,0.0,4.0,4.0,0.0,3.516715747582433,3.516715747582433,0.0,1,0.02229574105373011,0.02229574105373011,0.0,136.0,136.0,0.0,2.1929287559312387,2.1929287559312387,0.0,0.43271024989358114,88.10572687224669,76.93021099003015,76.93021099003015
1,8.42630800986143,8.42630800986143,0.0,2886.8842862266324,2886.8842862266324,0.0,41.50527563836198,41.50527563836198,0.0,1,0.004907326578216242,0.004907326578216242,0.0,2.0,2.0,0.0,28.8444684513274,28.8444684513274,0.0,10.051059454465138,1,0.009844835685779763,0.009844835685779763,0.0,242.0,242.0,0.0,0.5630873268351586,0.5630873268351586,0.0,1,0.0013646828799244726,0.0013646828799244726,0.0,20.0,20.0,0.0,0.46174832524351184,0.46174832524351184,0.0,0.047085650271551885,1,116.1200894096279,116.1200894096279,0.0,1810.6400018423565,1810.6400018423565,0.0,436.2255223679691,436.2255223679691,0.0,1,0.0010600046365709659,0.0010600046365709659,0.0,2.0,2.0,0.0,210.5227323834817,210.5227323834817,0.0,48.50097380509653,1,0.170994231801207,0.170994231801207,0.0,457.5725750475144,457.5725750475144,0.0,5.531346638117021,5.531346638117021,0.0,1,0.897923014778077,0.897923014778077,0.0,1828.8615426861463,1828.8615426861463,0.0,3.5388287282344564,3.5388287282344564,0.0,0.5162824796180762,98.9566427080918,99.95362856480408,99.95362856480408
1,19.842652652503048,19.842652652503048,0.0,3371.4400530018006,3371.4400530018006,0.0,63.00191180633385,63.00191180633385,0.0,1,1.8237575169219014,1.8237575169219014,0.0,204.0,204.0,0.0,37.743832537571436,37.743832537571436,0.0,38.79845838980231,1,0.19549678492199052,0.19549678492199052,0.0,3277.9924652279456,3277.9924652279456,0.0,0.8466378691001578,0.8466378691001578,0.0,1,0.011402000918105226,0.011402000918105226,0.0,112.0,112.0,0.0,0.4580896830953486,0.4580896830953486,0.0,0.08670564987446895,1,133.9056711675115,133.9056711675115,0.0,3222.7246435504817,3222.7246435504817,0.0,425.5206510561886,425.5206510561886,0.0,1,0.16392806734307896,0.16392806734307896,0.0,8.0,8.0,0.0,239.2745271626655,239.2745271626655,0.0,85.07420139425845,1,0.07021168784714327,0.07021168784714327,0.0,168.0,168.0,0.0,2.779800230260099,2.779800230260099,0.0,1,0.08396756772256087,0.08396756772256087,0.0,632.0,632.0,0.0,2.2219111842733987,2.2219111842733987,0.0,0.5441152099769533,98.88708555529794,99.95362856480408,99.95362856480408
1,0.00448862254123128,0.00448862254123128,0.0,4.0,4.0,0.0,56.251455097540216,56.251455097540216,0.0,1,0.05468058258766462,0.05468058258766462,0.0,74.0,74.0,0.0,32.39369129170393,32.39369129170393,0.0,7.701263720734587,1,0.22200615850506855,0.22200615850506855,0.0,2044.5200491433236,2044.5200491433236,0.0,0.8651034026712447,0.8651034026712447,0.0,1,0.0007537638157021354,0.0007537638157021354,0.0,10.0,10.0,0.0,0.6198306458680966,0.6198306458680966,0.0,0.06603801244671234,1,0.028289213745722463,0.028289213745722463,0.0,2.0,2.0,0.0,392.5332291221096,392.5332291221096,0.0,1,17.847521599232607,17.847521599232607,0.0,1019.2022229778199,1019.2022229778199,0.0,213.56006236318484,213.56006236318484,0.0,23.754748048251077,1,0.0933640868333927,0.0933640868333927,0.0,358.0,358.0,0.0,3.0971464732629927,3.0971464732629927,0.0,2,0.08777995038600794,0.17325221353832365,0.08547226315231571,851.8438595182782,1687.6877190365565,835.8438595182782,2.741274477955501,2.732215280302392,0.009059197653109141,0.3071960335758229,76.9533967076281,99.95362856480408,99.95362856480408
1,1.639263576523014,1.639263576523014,0.0,2284.6103979174227,2284.6103979174227,0.0,27.776140368141633,27.776140368141633,0.0,1,0.07834428694779305,0.07834428694779305,0.0,44.56049685694279,44.56049685694279,0.0,23.869708237563888,23.869708237563888,0.0,7.608479200604892,1,0.060298140935933,0.060298140935933,0.0,3266.5890383230926,3266.5890383230926,0.0,0.4615383168106586,0.4615383168106586,0.0,1,0.06279533657481862,0.06279533657481862,0.0,3267.2108724853592,3267.2108724853592,0.0,0.39874298023584,0.39874298023584,0.0,0.03054938324538163,1,1.1766493442331125,1.1766493442331125,0.0,144.0,144.0,0.0,189.31164672613062,189.31164672613062,0.0,1,0.9841539624241591,0.9841539624241591,0.0,63.0,63.0,0.0,116.56097094954032,116.56097094954032,0.0,21.720082321475278,2,0.14281343344003683,0.25270706807882704,0.1098936346387902,893.7877289743296,1555.5754579486593,661.7877289743296,3.897467581031493,3.9378873999090813,0.04041981887758861,1,0.00030396254452202953,0.00030396254452202953,0.0,2.0,2.0,0.0,3.275287273204774,3.275287273204774,0.0,0.4153223130200123,86.92325527475076,99.95362856480408,99.95362856480408
1,1.7759246688723564,1.7759246688723564,0.0,554.0,554.0,0.0,53.02053146371054,53.02053146371054,0.0,1,2.041639751153305,2.041639751153305,0.0,678.0,678.0,0.0,50.62833981408284,50.62833981408284,0.0,9.49679331584287,1,0.0009966163857176857,0.0009966163857176857,0.0,4.0,4.0,0.0,0.643655502240094,0.643655502240094,0.0,1,0.04329015555016286,0.04329015555016286,0.0,194.0,194.0,0.0,0.35181262230235033,0.35181262230235033,0.0,0.031376892932485315,1,259.5847362244092,259.5847362244092,0.0,2395.716447131055,2395.716447131055,0.0,423.3068975641103,423.3068975641103,0.0,1,10.836573043823975,10.836573043823975,0.0,626.0,626.0,0.0,83.06966291274705,83.06966291274705,0.0,55.46156703442858,1,0.0030103388748878857,0.0030103388748878857,0.0,2.0,2.0,0.0,4.394284929339999,4.394284929339999,0.0,2,0.0023299255288229404,0.0031507811883897396,0.0008208556595667993,9.0,14.0,5.0,3.1654010078098036,3.1106278409127968,0.05477316689700684,0.47496310591460544,31.76443310920473,99.95362856480408,99.95362856480408
1,0.053192563432865825,0.053192563432865825,0.0,2.0,2.0,0.0,44.62284050187443,44.62284050187443,0.0,1,0.11673293808866347,0.11673293808866347,0.0,10.0,10.0,0.0,27.67985893495749,27.67985893495749,0.0,21.445952378699907,1,7.854208564939125e-05,7.854208564939125e-05,0.0,8.0,8.0,0.0,0.6657170940488619,0.6657170940488619,0.0,1,0.0007539384107135283,0.0007539384107135283,0.0,6.0,6.0,0.0,0.34207933074746505,0.34207933074746505,0.0,0.044167705900995086,1,0.2070757494086024,0.2070757494086024,0.0,4.0,4.0,0.0,142.92576506398063,142.92576506398063,0.0,1,105.62041378605522,105.62041378605522,0.0,3810.4864678270487,3810.4864678270487,0.0,26.83738406009877,26.83738406009877,0.0,101.80583681917469,1,0.5042358909480935,0.5042358909480935,0.0,1476.167292917434,1476.167292917434,0.0,3.9230602768147755,3.9230602768147755,0.0,2,0.15960184465932747,0.31339288905057305,0.15379104439124558,728.4354333432307,1446.8708666864613,718.4354333432307,3.0619100626539346,2.923830481280539,0.1380795813733955,0.3365740760305658,54.973336424762344,93.0442847206121,99.95362856480408
1,2.9723650327678257,2.9723650327678257,0.0,370.0,370.0,0.0,38.56861392500417,38.56861392500417,0.0,1,0.006241118237849008,0.006241118237849008,0.0,2.0,2.0,0.0,26.47892916951904,26.47892916951904,0.0,10.01387685164229,1,0.2711483917698032,0.2711483917698032,0.0,478.0,478.0,0.0,1.0229454408326004,1.0229454408326004,0.0,1,0.07198165995032896,0.07198165995032896,0.0,240.0,240.0,0.0,0.4971476257141964,0.4971476257141964,0.0,0.055465690630463346,1,9.323110938010856,9.323110938010856,0.0,1485.38916818677,1485.38916818677,0.0,120.52728488144535,120.52728488144535,0.0,1,0.06806235502868674,0.06806235502868674,0.0,4.0,4.0,0.0,45.44316018281336,45.44316018281336,0.0,13.280505473869486,2,0.4376345956371295,0.8722909501910765,0.434656354553947,1063.2539917315826,2078.507983463165,1015.2539917315826,5.862757731150843,6.1274425168745985,0.2646847857237553,1,0.566735813848751,0.566735813848751,0.0,2004.6215618824453,2004.6215618824453,0.0,3.971101145283733,3.971101145283733,0.0,0.36858443819269493,38.88244841177834,99.95362856480408,99.95362856480408
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.45219553234812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252112342739371,1,0.30242082271750803,0.30242082271750803,0.0,47.83551013989589,47.83551013989589,0.0,85.43341132870687,85.43341132870687,0.0,1,0.4745406662609071,0.4745406662609071,0.0,16.0,16.0,0.0,67.53217880898696,67.53217880898696,0.0,94.33542546862002,1,0.0073505246493867915,0.0073505246493867915,0.0,42.0,42.0,0.0,3.3096669965688155,3.3096669965688155,0.0,1,0.0011773435165181034,0.0011773435165181034,0.0,14.0,14.0,0.0,3.239245828231894,3.239245828231894,0.0,0.7131929829110571,0.0,29.23718989102713,33.7352191050313
1,3.7617614472979675,3.7617614472979675,0.0,1560.6933631292682,1560.6933631292682,0.0,27.752118101233346,27.752118101233346,0.0,1,0.0010607488177605262,0.0010607488177605262,0.0,2.0,2.0,0.0,21.795855968045405,21.795855968045405,0.0,20.76592909834757,1,0.07494011022458458,0.07494011022458458,0.0,2005.9858958464831,2005.9858958464831,0.0,0.5306108632578113,0.5306108632578113,0.0,1,0.00028062608599999095,0.00028062608599999095,0.0,2.0,2.0,0.0,0.406293908774648,0.406293908774648,0.0,0.03831154741941894,1,41.71257115796038,41.71257115796038,0.0,2560.0255072357468,2560.0255072357468,0.0,126.85538070464375,126.85538070464375,0.0,2,0.0875113869885844,0.11241944480207167,0.02490805781348726,8.5,13.0,4.5,55.11535935880667,49.74011811022101,5.375241248585663,30.934954983983076,2,0.0447695407712394,0.06394672721846817,0.019177186447228767,210.0,296.0,86.0,3.6930104611076944,3.769273898486391,0.07626343737869701,1,0.0009044030989260321,0.0009044030989260321,0.0,10.0,10.0,0.0,3.115021357308386,3.115021357308386,0.0,0.3954723075439403,65.1750521678646,99.95362856480408,99.95362856480408
